Accession	Female_Parent	Male_Parent	Cross_Type
8524-003			
92-05	NC1528		biparental
93-11	Beauregard		biparental
93-17	Beauregard		biparental
93-50	Beauregard		biparental
96-27	L84-74		biparental
96-61	Beauregard		biparental
97A-04	92-05		biparental
97A-45	CarolinaRose		biparental
BayouBelle	L89-110		biparental
Beauregard	L78-21		biparental
Bellevue	L82-529		biparental
Bienville	L86-33		biparental
BM85-42			
Bonita	Excel		biparental
Burgundy	96-61		biparental
CarolinaRose	Beauregard		biparental
Centennial			
CharlestonScarlet	Regal		biparental
Covington	NC1528		biparental
Darby	L83-523		biparental
Evangeline	Bienville		biparental
Excel	Regal		biparental
FT92-36	Centennial		biparental
FTA94	TARS1		biparental
Hatteras	L87-95		biparental
Hernandez	L70-323		biparental
Huambanchero			
J_7-13			
Japanese			
L13-81			
L13-84			
L41-212	Mameyita	L4-6	biparental
L417			
L445			
L4-6			
L63-217	L41-212		biparental
L70-197			
L70-323	L63-217		biparental
L78-21	L70-197		biparental
L82-529			
L82-531			
L83-523			
L84-74			
L86-33	Beauregard		biparental
L87-95			
L89-110	L82-531		biparental
L91-189	Beauregard		biparental
L96-117	L91-189		biparental
Laupahoehoe			
Mameyita			
MC14-0073	NC04-0531		biparental
MC14-0363	NC09_0122		biparental
MC14-0958	NCDM04-0001		biparental
Murasaki29			
NC00-0748	FT92-36		biparental
NC02-0350	Patriot		biparental
NC02-0423	Hernandez		biparental
NC02-0459	Bienville		biparental
NC03-0007	96-61		biparental
NC03-0030	97A-04		biparental
NC03-0066	96-27		biparental
NC03-0302	97A-04		biparental
NC03-0417	L96-117		biparental
NC04-0412	97A-04		biparental
NC04-0531	Ruddy		biparental
NC05-0050	NC98-0076		biparental
NC05-0198	97A-45		biparental
NC05-0408	NC97-0433		biparental
NC07-0106	NC99-0524		biparental
NC07-0745	97A-45		biparental
NC07-0847	NC02-0350		biparental
NC08-0036	97A-04		biparental
NC08-0427	NC00-0748		biparental
NC08-0500	NC02-0459		biparental
NC08-0544	NC03-0302		biparental
NC08-0553	NC03-0030		biparental
NC09-0122			
NC09_0122	NC03-0302		biparental
NC09-0164	NC04-0412		biparental
NC09-0165	NC04-0412		biparental
NC09-0188	NC05-0408		biparental
NC09-0350	97A-45		biparental
NC09-0609	Evangeline		biparental
NC09-0912	NC02-0423		biparental
NC09-1105	NC03-0066		biparental
NC09-1119	Evangeline		biparental
NC09-1132	Evangeline		biparental
NC09-1182	Hatteras		biparental
NC10-0073	CharlestonScarlet		biparental
NC10-0118	Orleans		biparental
NC10-0275	NCDM06-0123		biparental
NC10-0357	97A-04		biparental
NC10-0503	NCDM04-0001		biparental
NC11-0234	NC05-0198		biparental
NC11-0493	NC04-0412		biparental
NC11-0632	NC07-0106		biparental
NC12-0190	Huambanchero		biparental
NC12-0539	Beauregard	Ruddy	biparental
NC12-0746	NC07-0106		biparental
NC12-0934	NC07-0847		biparental
NC12-1149	NC07-0106		biparental
NC13-0013	NC02-0350		biparental
NC13-0151	NC07-0847		biparental
NC13-0254	NC03-0417		biparental
NC13-0383	NC07-0745		biparental
NC13-0613	NC08-0427		biparental
NC13-0909	NC02-0350		biparental
NC13-1001	NCDM04-0001	Covington	biparental
NC13-1027	NCDM04-0001	Covington	biparental
NC13-1161	NC08-0500		biparental
NC13-1259	NC09-1132		biparental
NC14-0014	NC02-0350		biparental
NC14-0118	NC04-0531		biparental
NC14-0129	NC10-0503		biparental
NC14-0341	NC04-0531		biparental
NC14-0353	NC04-0531		biparental
NC14-0358	NC05-0050		biparental
NC14-0589	NC04-0531	NC10-0503	biparental
NC15-0001	97A-04		biparental
NC15-0005	97A-04		biparental
NC15-0010	97A-04		biparental
